source,name,price,description,origin,process,roast_level,notes
instinct roastery,p blend  instinct roastery  biji kopi  200 gram,180000,please note before buying untuk permintaan digiling menjadi bubuk kopi mohon cantumkan di bagian notes karena jika tidak kami akan mengirimkan dalam bentuk biji kopi utuh terima kasih p for premium blend  darker roast instinct version  a blend made for people who love bigbodied coffee with low acidity yet still has the strong character and flavor of specialty coffee using 100 arabica specialty grade coffee suitable for milk or classic espresso taste  kopi susu,unknown,unknown,unknown,unknown
instinct roastery,guatemala espresso  instinct coffee  biji kopi  200 gram,180000,please note before buying untuk permintaan digiling menjadi bubuk kopi mohon cantumkan di bagian notes karena jika tidak kami akan mengirimkan dalam bentuk biji kopi utuh terima kasih varian lain utk kopi espresso dengan karakter low acidity creamy dan sweet kali ini datang dari guatemala guatemala merupakan favorite daerah kami selain brazil dimana brazil menghasilkan mouthfeel yang lebih berat full dengan notes chocolate nutty sedangkan guatemala menghasilkan rasa yang lebih bersih more rounded sweetness dikomplimen dengan rasa nutty dan juga sweetness seperti toffee varian espresso lain utk kamu yg suka karakter low acidity kopi pertama kali tiba di guatemala pada abad ke18 di antigua perkebunan mulai tersebar selama 150 tahun berikutnya sebagian besar dimiliki oleh penjajah eropa negara ini memperoleh kemerdekaan pada tahun 1821 dan produksi kopi melonjak menjadikan guatemala sebagai produsen kopi yang penting kopi ini berasal dekat kota jilotepeque di wilayah chimaltenango terdapat pertanian luas finca el retiro del quisaya peternakan ini didirikan 100 tahun yang lalu oleh keluarga ortega dan barubaru ini dijual ke organisasi arabigos del sur nama peternakan ini berasal dari sungai yang mengalir di dalam tanah tersebut perkebunan  el retiro quisaya varietas  bourbon proses dicuci sepenuhnya ketinggian  1800 meter di atas permukaan laut kota  kota  san martin jilotepeque wilayah  chimaltenango pemilik  arabigos del sur sa,"brazil, guatemala",unknown,unknown,"chocolate, nutty, sweet"
instinct roastery,bali karana cm natural  instinct coffee  biji kopi  200 gram,180000,please note before buying untuk permintaan digiling menjadi bubuk kopi mohon cantumkan di bagian notes karena jika tidak kami akan mengirimkan dalam bentuk biji kopi utuh terima kasih origin  bali  kintamani producer  karana process  cm natural varietas  s795  kartika altitude  1200  1500 masl this is our third year working with bli edi from karana global they produce one of the best natural coffees in indonesia and we hope this years harvest also meets your expectations karana is a collaboration between two coffee professionals who share a common passion for exceptional coffee rodney glick australian and i kadek edi indonesian are both certified licensed q graders processors roasters and experts in the coffee supply chain karana farm process and trade indonesian specialty and commercial coffee based in ubud bali with a coffee bureau in medan sumatra embedded in balinese traditional village life with a focus on the global coffee market karana are focused on quality from farm to cup in 2021 at the first indonesian held cup of excellence karana achieved the highest scoring bali coffee as well as being ranked in the top 20 coffees overall,"indonesia, kintamani, sumatra, bali",natural,unknown,unknown
instinct roastery,espresso caramel nutty  biji kopi espresso  500gr,295000,please note before buying untuk permintaan digiling menjadi bubuk kopi mohon cantumkan di bagian notes karena jika tidak kami akan mengirimkan dalam bentuk biji kopi utuh terima kasih all time favorite espresso this is for you who looks for a low acidity with high body and sweetness in your cup suitable for your daily needs of espressobased drinks,unknown,unknown,unknown,"caramel, nutty, sweet"
fugol coffee roasters,kopi arabica ethiopia aricha adorsi specialty single origin  15 gram,85000,origin aricha gedeb ethiopia altitude 19002100 masl spesies kopi arabika varietas kopi heirloom  kurume producer testi coffees adorsi washing station importir coffee beyond borders proses pasca panen natural tasting notes floral tangerine black tea penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,ethiopia,natural,unknown,"floral, herbal"
fugol coffee roasters,kopi arabica pangalengan anaerobic natural 1 kg specialty single origin  biji,469000,origin pangalengan west java variety ateng super altitude 1555 masl processing anaerobic natural prosessor villiam rico tasting notes tangerine sugarcane  red berries biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"natural, anaerobic",medium,fruity
fugol coffee roasters,kopi arabica pangalengan anaerobic natural 500 gram specialty single origin  whole beans,293000,origin pangalengan west java variety ateng super altitude 1555 masl processing anaerobic natural prosessor villiam rico tasting notes tangerine sugarcane  red berries biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"natural, anaerobic",medium,fruity
fugol coffee roasters,kopi arabica pangalengan anaerobic natural 200 gram specialty single origin  biji,153000,origin pangalengan west java variety ateng super altitude 1555 masl processing anaerobic natural prosessor villiam rico tasting notes tangerine sugarcane  red berries biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"natural, anaerobic",medium,fruity
fugol coffee roasters,kopi arabica pangalengan anaerobic natural 100 gram specialty single origin  biji,81000,origin pangalengan west java variety ateng super altitude 1555 masl processing anaerobic natural prosessor villiam rico tasting notes tangerine sugarcane  red berries biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"natural, anaerobic",medium,fruity
fugol coffee roasters,biji kopi arabica ethiopia floral espresso blend 10 kg grosir  biji,398000,halal id32110016691860324 penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya tidak ada free sample untuk pembelian espresso beans terima kasih profile roasted medium roast tasting notes floral berries  brown sugar origin sidamo ethiopia variety mix variety altitude 1500  2200 masl penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karna sesuai stok kemasan kopi yang ada terimakasih,ethiopia,unknown,medium,"fruity, floral, sweet"
fugol coffee roasters,biji kopi arabica colombia papayo inmaculada natural specialty arabica coffee beans  15gr biji,100000,origin valle del cauca colombia variety papayoateng altitude 18002000 masl processing anaerobic natural farmer inmaculada fellow farms tasting notes plum orange  pineapple the papayo variety is rare outside of huila and little is known about how it arrived in colombia it was originally thought to be a caturra mutation but genetic testing by world coffee research indicates a close relationship with ethiopian landraces papayo cherries are distinctive with an elongated shape it is assumed that the local name comes from the papaya fruit  well also give you the brewing recommendation to brew the coffee with hario v60  limited stock  penting hanya bisa dalam bentuk biji agar menjaga beans sampai dalam keadaan aman dan intensitas rasanya tidak cepat menurun semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya,"ethiopia, colombia","natural, anaerobic",unknown,fruity
fugol coffee roasters,kopi arabika bogor lactic washed 100 gr single origin specialty coffee  biji,78000,halal id32110016691860324 origin bogor west java variety s795 sigarar utang and ateng super gayo35 ateng altitude 11001300 masl processing lactic washed farmer java kirana tasting notes orange almond  brown sugar these coffees are mixed varieties of s795 sigarar utang and ateng super gayo3 which are grown between 11001300 masl fresh cherries are picked and sorted coffee is pulped then undergoes 48 hours of fermentation in the controlled saline condition afterward the pulped cherry is washed until the mucilage is deattached from the parchment after being washed with fresh water the clean coffee parchment is dried for 12 days inside a moistureregulated uv greenhouse after its dried the coffee undergoes a resting process inside the parchment for 1 month before being hulled and ready to sell biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"washed, fermented",medium,"nutty, fruity, sweet"
fugol coffee roasters,kopi arabica bogor lactic washed  1 kg  single origin specialty coffee  biji,440000,halal id32110016691860324 origin bogor west java variety s795 sigarar utang and ateng super gayo35 ateng altitude 11001300 masl processing lactic washed farmer java kirana tasting notes orange almond  brown sugar these coffees are mixed varieties of s795 sigarar utang and ateng super gayo3 which are grown between 11001300 masl fresh cherries are picked and sorted coffee is pulped then undergoes 48 hours of fermentation in the controlled saline condition afterward the pulped cherry is washed until the mucilage is deattached from the parchment after being washed with fresh water the clean coffee parchment is dried for 12 days inside a moistureregulated uv greenhouse after its dried the coffee undergoes a resting process inside the parchment for 1 month before being hulled and ready to sell biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"washed, fermented",medium,"nutty, fruity, sweet"
fugol coffee roasters,kopi arabika bogor lactic washed 200 gr single origin specialty coffee  biji,149000,halal id32110016691860324 origin bogor west java variety s795 sigarar utang and ateng super gayo35 ateng altitude 11001300 masl processing lactic washed farmer java kirana tasting notes orange almond  brown sugar these coffees are mixed varieties of s795 sigarar utang and ateng super gayo3 which are grown between 11001300 masl fresh cherries are picked and sorted coffee is pulped then undergoes 48 hours of fermentation in the controlled saline condition afterward the pulped cherry is washed until the mucilage is deattached from the parchment after being washed with fresh water the clean coffee parchment is dried for 12 days inside a moistureregulated uv greenhouse after its dried the coffee undergoes a resting process inside the parchment for 1 month before being hulled and ready to sell biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"washed, fermented",medium,"nutty, fruity, sweet"
fugol coffee roasters,kopi arabika bogor lactic washed 500 gr single origin specialty coffee  biji,298000,halal id32110016691860324 origin bogor west java variety s795 sigarar utang and ateng super gayo35 ateng altitude 11001300 masl processing lactic washed farmer java kirana tasting notes orange almond  brown sugar these coffees are mixed varieties of s795 sigarar utang and ateng super gayo3 which are grown between 11001300 masl fresh cherries are picked and sorted coffee is pulped then undergoes 48 hours of fermentation in the controlled saline condition afterward the pulped cherry is washed until the mucilage is deattached from the parchment after being washed with fresh water the clean coffee parchment is dried for 12 days inside a moistureregulated uv greenhouse after its dried the coffee undergoes a resting process inside the parchment for 1 month before being hulled and ready to sell biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,java,"washed, fermented",medium,"nutty, fruity, sweet"
fugol coffee roasters,biji kopi arabika peru lenin flores washed 200gr single origin specialty coffee beans  whole beans,202000,origin cutervo cajamaca peru farmer finca el moritolenin flores process washed variety bourbon  red cattura altitude 2000 masl roasted filter roast tasting notes black tea caramel chocolate biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"flores, peru",washed,medium,"chocolate, caramel, herbal"
fugol coffee roasters,biji kopi arabika peru lenin flores washed 500gr single origin specialty coffee beans  whole beans,489000,origin cutervo cajamaca peru farmer finca el moritolenin flores process washed variety bourbon  red cattura altitude 2000 masl roasted filter roast tasting notes black tea caramel chocolate biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"flores, peru",washed,medium,"chocolate, caramel, herbal"
fugol coffee roasters,biji kopi arabika peru lenin flores washed 150gr single origin specialty coffee beans  whole beans,154000,origin cutervo cajamaca peru farmer finca el moritolenin flores process washed variety bourbon  red cattura altitude 2000 masl roasted filter roast tasting notes black tea caramel chocolate biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"flores, peru",washed,medium,"chocolate, caramel, herbal"
fugol coffee roasters,biji kopi arabika peru lenin flores washed 100gr single origin specialty coffee beans  whole beans,110500,origin cutervo cajamaca peru farmer finca el moritolenin flores process washed variety bourbon  red cattura altitude 2000 masl roasted filter roast tasting notes black tea caramel chocolate biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"flores, peru",washed,medium,"chocolate, caramel, herbal"
fugol coffee roasters,biji kopi arabica sulawesi topidi typica natural 100gr specialty arabica coffee beans  biji,105000,origin topidi gowa south sulawesi variety typica altitude 13001500 masl processing natural producer yolan tirta tasting notes orange sugarcane  floral this coffee is cultivated in the highlands of topidi by yolan coffee id producers known for their consistency in sourcing and processing distinctive indonesian microlots through close collaboration with local farmers in topidi they focus on maintaining clarity cleanliness and precision in every stage of postharvest handling to highlight the authentic character of typica this lot is composed of pure typica carefully grown and selectively harvested to preserve its classic profile the cup unfolds with a bright orange nuance supported by a gentle sugarcane sweetness and lifted by a delicate floral note that adds elegance and balance to the cup biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,indonesia,natural,medium,"fruity, floral, sweet"
fugol coffee roasters,kopi arabika kerinci thermal shock natural 1 kg single origin coffee  whole beans,525000,origin bengkolan mt kerinci jambi indonesia variety sigararutang andongsari lini s altitude 14001700 masl processing thermalshock natural producer kelompok tani rukun saudara tasting notes pineapple orange  brown sugar this coffee is cultivated in the highlands of mount kerinci jambi by mr aziz thohari a farmer and distinguished specialty coffee processor recognized for his achievements in the cup of excellence indonesia he has earned multiple awards that highlight his dedication to elevating indonesian coffee quality working closely with the community mr aziz continues to push the boundaries of postharvest innovation to reveal the full potential of arabica this lot is crafted from a mix of sigararutang andongsari and lini s varieties and processed using the thermal shock natural method the cup profile unfolds with vibrant notes of pineapple and orange complemented by a deep brown sugar sweetness biji kopi dapat digiling langsung sesuai permintaan giling espresso giling kasar giling medium giling halus giling v60 disesuaikan dengan resep yang anda dapat kami akan berikan 8gr free sample beans greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, kerinci",natural,medium,"fruity, sweet"
fugol coffee roasters,biji kopi arabika kerinci thermal shock natural 500gr single origin biji  bubuk  biji,312000,halal id32110016691860324 pirt308327301034727 origin bengkolan mt kerinci jambi indonesia variety sigararutang andongsari lini s altitude 14001700 masl processing thermalshock natural producer kelompok tani rukun saudara tasting notes pineapple orange  brown sugar this coffee is cultivated in the highlands of mount kerinci jambi by mr aziz thohari a farmer and distinguished specialty coffee processor recognized for his achievements in the cup of excellence indonesia he has earned multiple awards that highlight his dedication to elevating indonesian coffee quality working closely with the community mr aziz continues to push the boundaries of postharvest innovation to reveal the full potential of arabica this lot is crafted from a mix of sigararutang andongsari and lini s varieties and processed using the thermal shock natural method the cup profile unfolds with vibrant notes of pineapple and orange complemented by a deep brown sugar sweetness biji kopi dapat langsung di giling langsung sesuai permintaan  giling espresso  giling kasar  giling medium  giling halus  giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat check out pesanan beans di etalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, kerinci",natural,medium,"fruity, sweet"
fugol coffee roasters,kopi arabika kerinci thermal shock natural 200gr biji  bubuk  biji,169000,halal id32110016691860324 pirt308327301034727 origin bengkolan mt kerinci jambi indonesia variety sigararutang andongsari lini s altitude 14001700 masl processing thermalshock natural producer kelompok tani rukun saudara tasting notes pineapple orange  brown sugar this coffee is cultivated in the highlands of mount kerinci jambi by mr aziz thohari a farmer and distinguished specialty coffee processor recognized for his achievements in the cup of excellence indonesia he has earned multiple awards that highlight his dedication to elevating indonesian coffee quality working closely with the community mr aziz continues to push the boundaries of postharvest innovation to reveal the full potential of arabica this lot is crafted from a mix of sigararutang andongsari and lini s varieties and processed using the thermal shock natural method the cup profile unfolds with vibrant notes of pineapple and orange complemented by a deep brown sugar sweetness biji kopi dapat digiling langsung sesuai permintaan giling espresso giling kasar giling medium giling halus giling v60 disesuaikan dengan resep yang anda dapat penting semua pesanan yang masuk lewat dari jam 3 sore akan dikirim keesokan harinya kami akan berikan 8gr free sample beans sebagai bentuk penyesuaian karena harga bahan baku semakin meningkat free sample untuk cupping akan kami berikan sebanyak 8gr silahkan pilih 1 beans dari produk yang ada di etalase toko kami dan tulis di catatan saat checkou tpesanan beans dietalase special release tidak bisa dipilih untuk sample greatcoffeeforgreatpeople penting foto produk desain produk dapat berubah tanpa ada pemberitahuan karena sesuai stok kemasan kopi yang ada terimakasih,"indonesia, kerinci",natural,medium,"fruity, sweet"
